rank,name,earnings,image
57,Anthony Joshua,$47M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed65890b155bf0007ba1fb8%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1843%26cropY1%3D0%26cropY2%3D879
57,Pink,$47M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos2%2FCeleb100-SILO-Pink-Desktop-v1.jpg
59,Deontay Wilder,$46.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ecc74fcfd6d6700060f862b%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D634%26cropX2%3D2760%26cropY1%3D133%26cropY2%3D1146
60,David Copperfield,$46M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed65f5d9e384f0007b7db0d%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D2507%26cropY1%3D61%26cropY2%3D1255
60,Rihanna,$46M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-Rihanna-Desktop-v1.png
62,Luke Bryan,$45.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed661849e384f0007b7db2f%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1838%26cropY1%3D34%26cropY2%3D909
62,Lin-Manuel Miranda,$45.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ecc7638798e4c00060d248d%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D916%26cropX2%3D5087%26cropY1%3D65%26cropY2%3D2050
64,Backstreet Boys,$45M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed6620f570be8000647494a%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1080%26cropY1%3D97%26cropY2%3D611
64,Tom Brady,$45M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-TomBrady-Desktop-v1.png
64,Phil Collins,$45M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ecc77ff798e4c00060d24bc%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D1433%26cropX2%3D3284%26cropY1%3D633%26cropY2%3D1514
67,Drew Brees,$44.8M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ece82c589ee2f0006814cf7%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D56%26cropX2%3D1731%26cropY1%3D78%26cropY2%3D876
68,Novak Djokovic,$44.6M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ece884dbdf23b00084e577b%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D195%26cropX2%3D2548%26cropY1%3D414%26cropY2%3D1534
69,Will Smith,$44.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed66449570be8000647495f%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1752%26cropY1%3D0%26cropY2%3D834
70,Blake Shelton,$43.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed6657edd5d320006caf878%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D2507%26cropY1%3D61%26cropY2%3D1255
71,Sean Hannity,$43M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed666bb570be80006474969%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D773%26cropX2%3D4472%26cropY1%3D0%26cropY2%3D1762
71,Sofía Vergara,$43M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed666361b732a00060ba263%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1843%26cropY1%3D0%26cropY2%3D879
73,Celine Dion,$42M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ecc7b321c89960006721a32%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D294%26cropX2%3D3122%26cropY1%3D171%26cropY2%3D1518
74,Kyrie Irving,$41.9M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-KyrieIrving-Desktop-v1.png
75,The Eagles,$41M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed6688fdd5d320006caf88f%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1475%26cropY1%3D0%26cropY2%3D701
75,Adam Sandler,$41M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed7cfa9929b4000066a7b49%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D70%26cropX2%3D2517%26cropY1%3D70%26cropY2%3D1235
77,Phil Mickelson,$40.8M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ece8970938ec500060aae2c%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D620%26cropX2%3D3651%26cropY1%3D256%26cropY2%3D1699
78,Julio Jones,$40.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ecc7d3afd6d6700060f8691%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D417%26cropX2%3D3314%26cropY1%3D47%26cropY2%3D1426
78,Metallica,$40.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed5563a19427200062f280c%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D823%26cropX2%3D2875%26cropY1%3D295%26cropY2%3D1271
80,Jackie Chan,$40M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed66efa1b732a00060ba2a3%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D2507%26cropY1%3D61%26cropY2%3D1255
80,Rafael Nadal,$40M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ece8a5c938ec500060aae37%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D3799%26cropY1%3D317%26cropY2%3D2124
82,Heidi Klum,$39.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed55afbd83fc00007e06dc5%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1774%26cropY1%3D33%26cropY2%3D879
82,Travis Scott,$39.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-TravisScott-Desktop-v1.png
